#,Domain,Function,Description,URL/API,Method,Authorization,Header,RequestParam,RequestBody,Respone,Dev,Note,Reference
14.0,http://localhost:8080,updateResidentStatus,Changes status (PENDING/ACTIVE/DISCHARGED/DECEASED) with automatic side-effects.,/api/v1/residents/{id}/status,PATCH,"DON, Admission_Staff, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""status"": ""DISCHARGED"",
  ""reason"": ""Family relocation"",
  ""effectiveDate"": ""2026-07-07""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""status"": ""DISCHARGED""
    }
  }
}",Thịnh,DISCHARGED/DECEASED auto-clears bed_id; DECEASED auto-locks the chart,
15.0,http://localhost:8080,assignResidentBed,"Assigns bed_id to resident, checking bed availability.",/api/v1/residents/{id}/assign-bed,PATCH,"Nurse, Admission_Staff, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""bedId"": 402
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""bedId"": 402
    }
  }
}",Thịnh,,
16.0,http://localhost:8080,lockResidentChart,"Sets is_chart_locked=true, blocking all clinical modifications.",/api/v1/residents/{id}/lock-chart,PATCH,"DON, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""reason"": ""Discharge file audit completed""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""isChartLocked"": true
    }
  }
}",,reason is required for audit logging,
17.0,http://localhost:8080,unlockResidentChart,Sets is_chart_locked=false.,/api/v1/residents/{id}/unlock-chart,PATCH,"DON, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""reason"": ""Late entry of medication documentation error""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""resident"": {
      ""id"": 101,
      ""isChartLocked"": false
    }
  }
}",,reason is required for audit logging,
18.0,http://localhost:8080,deleteResident,Hard delete is not supported via public API due to PHI retention requirements.,/api/v1/residents/{id},DELETE,Not permitted via API,Content-Type: application/json,"id (path, required)",,,Thịnh,Fully blocked at the API layer,
19.0,http://localhost:8080,getResidentSensitiveInfo,Returns SSN/MRN/insurance/bank data masked; MFA required to reveal full values.,/api/v1/residents/{resident_id}/sensitive-info,GET,"System_Administrator, Accountant/Billing_Staff, DON",Content-Type: application/json,"resident_id (path, required); reveal (query, optional)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""ssnMasked"": ""***-**-6789"",
    ""medicalRecordNumberMasked"": ""MRN-****5"",
    ""primaryInsuranceId"": ""INS-99231"",
    ""bankAccount"": ""XXXXXX1234""
  }
}",Thịnh,reveal=true requires VIEW_FULL_PHI permission + detailed audit logging,
20.0,http://localhost:8080,createResidentSensitiveInfo,"Creates a new record (one per resident only, UNIQUE resident_id); server encrypts with AES-256.",/api/v1/residents/{resident_id}/sensitive-info,POST,"System_Administrator, Admission_Staff",Content-Type: application/json,"resident_id (path, required)","{
  ""ssn"": ""123456789"",
  ""medicalRecordNumber"": ""MRN12345"",
  ""primaryInsuranceId"": ""INS-99231"",
  ""bankAccount"": ""1234567890""
}","{
  ""statusCode"": 201,
  ""message"": ""Created"",
  ""data"": {
    ""residentId"": 101,
    ""encrypted"": true
  }
}",Thịnh,Plaintext values are never returned in logs,
21.0,http://localhost:8080,updateResidentSensitiveInfo,"Updates the full record, typically used when bank/insurance details change.",/api/v1/residents/{resident_id}/sensitive-info,PUT,"System_Administrator, Accountant/Billing_Staff",Content-Type: application/json,"resident_id (path, required)","{
  ""ssn"": ""000112222"",
  ""medicalRecordNumber"": ""MRN-998877"",
  ""primaryInsuranceId"": ""INS-ABC-999"",
  ""bankAccount"": ""1122334455""
}","
{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""sensitiveInfo"": {
      ""id"": 8,
      ""residentId"": ""9f3a1c2e-...""
    }
  }
}",Thịnh,"Audit log records which fields changed, never the plaintext values",
22.0,http://localhost:8080,deleteResidentSensitiveInfo,Deletes data to comply with a legal right-to-erasure request.,/api/v1/residents/{resident_id}/sensitive-info,DELETE,System_Administrator,Content-Type: application/json,"resident_id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""deleted"": true
  }
}",Thịnh,Typically accompanied by a separate legal process outside the system,
23.0,http://localhost:8080,getResidentCareLevelHistory,Returns the full history of care level changes for a resident.,/api/v1/residents/{resident_id}/care-level-history,GET,"Nurse, CNA, DON, Doctor/Clinical_Specialist, System_Administrator",Content-Type: application/json,"resident_id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""careLevelHistory"": [
      {
        ""id"": ""h1..."",
        ""careLevelId"": 4,
        ""levelCode"": ""SKILLED_NURSING"",
        ""startDate"": ""2025-04-01"",
        ""endDate"": null
      }
    ]
  }
}",Sý,Sorted by start_date DESC,SC_025_M1-US-09
24.0,http://localhost:8080,transitionResidentCareLevel,"Creates a new history record, automatically closing the current record's end_date.",/api/v1/residents/{resident_id}/care-level-history,POST,"Nurse, DON, Doctor/Clinical_Specialist, System_Administrator",Content-Type: application/json,"resident_id (path, required)","{
  ""careLevelId"": 4,
  ""startDate"": ""2026-07-10""
}","{
  ""statusCode"": 201,
  ""message"": ""Success"",
  ""data"": {
    ""newRecord"": {
      ""id"": ""h3..."",
      ""careLevelId"": 4,
      ""startDate"": ""2026-07-10"",
      ""endDate"": null
    },
    ""closedRecord"": {
      ""id"": ""h1..."",
      ""endDate"": ""2026-07-10""
    }
  }
}",Sý,start_date must be after the current record's start_date,SC_024_M1-US-08
25.0,http://localhost:8080,getCareLevelActiveSummary,Count of active residents per care level.,/api/v1/care-level-history/active-summary,GET,"Facility_Manager, DON, System_Administrator",Content-Type: application/json,none,none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""summary"": [
      {
        ""levelCode"": ""MEMORY_CARE"",
        ""activeResidentCount"": 34
      }
    ]
  }
}",Sý,Used for the operations dashboard,
26.0,http://localhost:8080,updateCareLevelHistory,Only allows editing non-current records; a reason is required.,/api/v1/care-level-history/{id},PATCH,"DON, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""careLevelId"": 4,
  ""startDate"": ""2025-04-05"",
  ""reason"": ""Correction of historical data-entry error""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""careLevelHistory"": {
      ""id"": ""h1..."",
      ""careLevelId"": 4
    }
  }
}",Sý,Use endpoint 7.2 to properly transition the current record instead,
27.0,http://localhost:8080,deleteCareLevelHistory,"Fully blocked, including for System_Administrator.",/api/v1/care-level-history/{id},DELETE,Not permitted via API,Content-Type: application/json,"id (path, required)",,,Sý,Mandatory retention data; deletion via API is not allowed,
28.0,http://localhost:8080,getContacts,"List of contacts, supports search and filtering of soft-deleted records.",/api/v1/contacts,GET,"Admission_Staff, Facility_Manager, Accountant/Billing_Staff, System_Administrator",Content-Type: application/json,"search, include_deleted, page, page_size (query, optional)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contacts"": [
      {
        ""id"": 1,
        ""firstName"": ""Michael"",
        ""lastName"": ""Anderson"",
        ""phoneSecondary"": null,
        ""isDeleted"": false,
        ""createdAt"": ""2026-07-04T09:00:00-04:00""
      }
    ]
  }
}",Thắng,,
29.0,http://localhost:8080,getContactById,Returns detail of a single contact by id.,/api/v1/contacts/{id},GET,"Admission_Staff, Facility_Manager, System_Administrator",Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 1,
      ""firstName"": ""Michael"",
      ""lastName"": ""Anderson""
    }
  }
}",Thắng,,
30.0,http://localhost:8080,createContact,Creates a new contact (not yet linked to any resident).,/api/v1/contacts,POST,"Admission_Staff, System_Administrator",Content-Type: application/json,(none),"{
  ""firstName"": ""Michael"",
  ""middleName"": ""James"",
  ""lastName"": ""Anderson"",
  ""phonePrimary"": ""1-212-555-0143"",
  ""phoneSecondary"": ""1-212-555-0199"",
  ""email"": ""michael.anderson@example.com"",
  ""addressId"": 102
}","{
  ""statusCode"": 201,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 25,
      ""firstName"": ""Michael"",
      ""lastName"": ""Anderson""
    }
  }
}",Thắng,"phone_primary is required, format 1-XXX-XXX-XXXX",
31.0,http://localhost:8080,updateContact,Updates contact details; server automatically updates updated_at.,/api/v1/contacts/{id},PATCH,"Admission_Staff, System_Administrator",Content-Type: application/json,"id (path, required)","{
  ""phoneSecondary"": ""1-212-555-0199""
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 1,
      ""phoneSecondary"": ""1-212-555-0199""
    }
  }
}",Thắng,,
32.0,http://localhost:8080,deleteContact,Sets is_deleted=true; blocked if the contact is guarantor for an ACTIVE resident.,/api/v1/contacts/{id},DELETE,System_Administrator,Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 1,
      ""isDeleted"": true
    }
  }
}",Thắng,,
33.0,http://localhost:8080,getResidentsByContact,Returns residents linked to this contact.,/api/v1/contacts/{id}/residents,GET,"Admission_Staff, Facility_Manager, System_Administrator",Content-Type: application/json,"id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""residents"": [
      {
        ""residentId"": ""9f3a1c2e-..."",
        ""firstName"": ""Robert"",
        ""lastName"": ""Anderson"",
        ""relationshipType"": ""SON""
      }
    ]
  }
}",Thắng,Useful when one contact is family to multiple residents,
34.0,http://localhost:8080,getResidentContacts,"Returns all contacts linked to a resident, with role/financial split details.",/api/v1/residents/{resident_id}/contacts,GET,"Nurse, CNA, DON, Admission_Staff, Accountant/Billing_Staff, System_Administrator",Content-Type: application/json,"resident_id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contacts"": [
      {
        ""id"": 1,
        ""contactId"": 1,
        ""relationshipType"": ""SON"",
        ""isGuarantor"": true,
        ""isEmergencyContact"": true,
        ""isPrimary"": true,
        ""financialResponsibilityPct"": 60.0
      }
    ]
  }
}",Thắng,,
35.0,http://localhost:8080,createResidentContact,Creates a new resident-contact link with a specific role.,/api/v1/residents/{resident_id}/contacts,POST,"Admission_Staff, System_Administrator",Content-Type: application/json,"resident_id (path, required)","{
  ""contactId"": 3,
  ""relationshipType"": ""LEGAL_GUARDIAN"",
  ""isGuarantor"": true,
  ""isEmergencyContact"": true,
  ""isPrimary"": false,
  ""financialResponsibilityPct"": 40.0
}","{
  ""statusCode"": 201,
  ""message"": ""Success"",
  ""data"": {
    ""residentContact"": {
      ""id"": 25,
      ""contactId"": 3,
      ""relationshipType"": ""LEGAL_GUARDIAN""
    }
  }
}",Thắng,Only one is_primary=true per resident at a time (previous contact auto-set to false),
36.0,http://localhost:8080,updateResidentContact,"Updates relationship_type, is_guarantor, financial_responsibility_pct, etc. of an existing link.",/api/v1/residents/{resident_id}/contacts/{id},PATCH,"Admission_Staff, System_Administrator",Content-Type: application/json,"resident_id, id (path, required)","{
  ""financialResponsibilityPct"": 50.0
}","{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""residentContact"": {
      ""id"": 1,
      ""financialResponsibilityPct"": 50.0
    }
  }
}",Thắng,Re-applies total % and single-primary validation,
37.0,http://localhost:8080,deleteResidentContact,Hard-deletes the resident-contact link.,/api/v1/residents/{resident_id}/contacts/{id},DELETE,"Admission_Staff, System_Administrator",Content-Type: application/json,"resident_id, id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""deleted"": true
  }
}",Thắng,"No PHI involved, hard delete allowed",
38.0,http://localhost:8080,getResidentGuarantorContact,Quickly returns the guarantor contact for billing purposes.,/api/v1/residents/{resident_id}/contacts/guarantor,GET,"Accountant/Billing_Staff, Admission_Staff, System_Administrator",Content-Type: application/json,"resident_id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 1,
      ""firstName"": ""Michael"",
      ""isGuarantor"": true
    }
  }
}",Thắng,Used on the billing/invoice screen,
39.0,http://localhost:8080,getResidentPrimaryContact,"Quickly returns the contact marked is_primary=true, used as the official legal point of contact.",/api/v1/residents/{resident_id}/contacts/primary,GET,"Admission_Staff, DON, System_Administrator",Content-Type: application/json,"resident_id (path, required)",none,"{
  ""statusCode"": 200,
  ""message"": ""Success"",
  ""data"": {
    ""contact"": {
      ""id"": 1,
      ""firstName"": ""Michael"",
      ""isPrimary"": true
    }
  }
}",Thắng,,
,,,,,,,,,,,,,
40.0,http://localhost:8080,loginUser	,User authentication is done via email and password. It supports BCrypt encryption standardization and filtering of disabled (INACTIVE/LOCKED) accounts.,/auth/login	,POST,"Public (Anonymous / All Roles: Nurse_(LPN/RN), CNA_(Caregiver), DON - Director of Nursing, Admission_Staff, System_Administrator)	",Content-Type: application/json	,"none	
","{
""username"": ""
daniel.brooks@nhms-demo.local
"",
""password"": ""Nhms@Demo2026""
}","{
   ""statusCode"": 200,
   ""message"": ""Success"",
   ""data"": {
        ""token"": ""mock-jwt-token-abcdef12"",
        ""sessionId"": ""sess_8f2e1c"",
        ""role"": ""System_Administrator"",
        ""name"": ""Daniel Brooks""
    }
}",Vương,Match the password directly from the SQL Server database. Update the user's last_login_at field upon successful login.,
41.0,http://localhost:8080,resetPassword	,Initiate the password recovery process. Verify the existence of the email address in the system before sending the reset link.,/auth/reset-password	,POST,"Public (Anonymous / All Roles: Nurse_(LPN/RN), CNA_(Caregiver), DON - Director of Nursing, Admission_Staff, System_Administrator)	",Content-Type: application/json	,"none	
","{
""email"": ""
daniel.brooks@nhms-demo.local
""
}","{
    ""statusCode"": 200,
    ""message"": ""Success"",
    ""data"": {
        ""message"": ""Password reset link sent to email""
      }
}",Vương,Returns HTTP Code 404 Not Found if the email address does not exist in the database.,
